user_id,experiment_name,experiment_group,exposure_date,converted,conversion_date,days_to_conversion
U00001,simplified_booking_flow,treatment,2025-01-04,True,2025-06-12,159.0
U00002,simplified_booking_flow,control,2025-03-06,True,2025-05-27,82.0
U00003,simplified_booking_flow,treatment,2025-04-08,False,,
U00004,simplified_booking_flow,treatment,2024-08-26,False,,
U00005,simplified_booking_flow,treatment,2024-05-19,False,,
U00006,simplified_booking_flow,control,2024-10-10,False,,
U00007,simplified_booking_flow,treatment,2025-05-15,False,,
U00008,simplified_booking_flow,treatment,2024-09-05,False,,
U00009,simplified_booking_flow,treatment,2025-04-27,False,,
U00010,simplified_booking_flow,treatment,2024-04-11,False,,
U00011,simplified_booking_flow,treatment,2025-02-02,False,,
U00012,simplified_booking_flow,control,2024-08-09,False,,
U00013,simplified_booking_flow,control,2024-01-11,True,2024-03-03,52.0
U00014,simplified_booking_flow,treatment,2024-02-24,True,2024-03-10,15.0
U00015,simplified_booking_flow,treatment,2024-05-08,False,,
U00016,simplified_booking_flow,treatment,2025-01-22,False,,
U00017,simplified_booking_flow,treatment,2024-10-27,False,,
U00018,simplified_booking_flow,treatment,2024-02-12,False,,
U00019,simplified_booking_flow,treatment,2024-11-28,False,,
U00020,simplified_booking_flow,treatment,2025-04-13,False,,
U00021,simplified_booking_flow,control,2024-10-29,False,,
U00022,simplified_booking_flow,treatment,2024-10-27,False,,
U00023,simplified_booking_flow,treatment,2024-01-27,False,,
U00024,simplified_booking_flow,control,2024-02-16,True,2024-03-28,41.0
U00025,simplified_booking_flow,control,2025-02-18,True,2025-04-14,55.0
U00026,simplified_booking_flow,control,2024-03-11,False,,
U00027,simplified_booking_flow,treatment,2024-10-04,False,,
U00028,simplified_booking_flow,control,2024-09-19,True,2025-02-27,161.0
U00029,simplified_booking_flow,treatment,2024-03-25,False,,
U00030,simplified_booking_flow,treatment,2024-10-27,False,,
U00031,simplified_booking_flow,control,2024-05-15,True,2024-07-30,76.0
U00032,simplified_booking_flow,treatment,2024-08-28,False,,
U00033,simplified_booking_flow,treatment,2024-09-30,False,,
U00034,simplified_booking_flow,control,2025-03-04,False,,
U00035,simplified_booking_flow,treatment,2024-10-31,False,,
U00036,simplified_booking_flow,control,2025-02-12,True,2025-04-06,53.0
U00037,simplified_booking_flow,control,2024-11-05,False,,
U00038,simplified_booking_flow,treatment,2024-08-10,False,,
U00039,simplified_booking_flow,control,2025-02-25,False,,
U00040,simplified_booking_flow,control,2024-10-14,True,2024-11-15,32.0
U00041,simplified_booking_flow,treatment,2024-09-14,True,2025-05-11,239.0
U00042,simplified_booking_flow,control,2024-08-07,False,,
U00043,simplified_booking_flow,treatment,2024-03-13,False,,
U00044,simplified_booking_flow,control,2025-02-23,True,2025-03-04,9.0
U00045,simplified_booking_flow,control,2025-05-14,False,,
U00046,simplified_booking_flow,control,2025-04-12,False,,
U00047,simplified_booking_flow,control,2025-03-02,False,,
U00048,simplified_booking_flow,control,2024-01-13,False,,
U00049,simplified_booking_flow,control,2025-01-17,True,2025-02-12,26.0
U00050,simplified_booking_flow,control,2024-09-12,True,2024-09-15,3.0
U00051,simplified_booking_flow,treatment,2024-04-29,False,,
U00052,simplified_booking_flow,control,2024-02-21,False,,
U00053,simplified_booking_flow,control,2025-01-26,False,,
U00054,simplified_booking_flow,control,2024-06-20,True,2024-06-24,4.0
U00055,simplified_booking_flow,control,2025-04-28,True,2025-05-25,27.0
U00056,simplified_booking_flow,treatment,2025-03-26,False,,
U00057,simplified_booking_flow,control,2024-03-19,True,2024-04-29,41.0
U00058,simplified_booking_flow,treatment,2025-04-14,True,2025-04-14,0.0
U00059,simplified_booking_flow,control,2024-08-16,True,2024-09-12,27.0
U00060,simplified_booking_flow,control,2024-01-15,False,,
U00061,simplified_booking_flow,control,2024-08-28,False,,
U00062,simplified_booking_flow,control,2024-02-14,False,,
U00063,simplified_booking_flow,treatment,2025-01-23,True,2025-02-23,31.0
U00064,simplified_booking_flow,control,2024-07-11,False,,
U00065,simplified_booking_flow,control,2025-02-02,False,,
U00066,simplified_booking_flow,control,2025-03-26,False,,
U00067,simplified_booking_flow,treatment,2024-04-26,True,2024-07-14,79.0
U00068,simplified_booking_flow,treatment,2024-11-26,False,,
U00069,simplified_booking_flow,treatment,2024-11-20,False,,
U00070,simplified_booking_flow,treatment,2024-08-16,True,2024-08-16,0.0
U00071,simplified_booking_flow,treatment,2024-09-10,False,,
U00072,simplified_booking_flow,treatment,2024-10-20,False,,
U00073,simplified_booking_flow,control,2024-01-23,True,2024-04-17,85.0
U00074,simplified_booking_flow,treatment,2025-05-09,False,,
U00075,simplified_booking_flow,treatment,2024-01-16,False,,
U00076,simplified_booking_flow,treatment,2025-02-28,False,,
U00077,simplified_booking_flow,control,2024-08-14,True,2024-08-31,17.0
U00078,simplified_booking_flow,control,2024-07-09,True,2024-07-26,17.0
U00079,simplified_booking_flow,control,2024-04-03,False,,
U00080,simplified_booking_flow,control,2025-01-11,False,,
U00081,simplified_booking_flow,control,2024-06-01,False,,
U00082,simplified_booking_flow,treatment,2024-05-19,False,,
U00083,simplified_booking_flow,treatment,2024-06-14,False,,
U00084,simplified_booking_flow,control,2024-12-01,False,,
U00085,simplified_booking_flow,treatment,2024-10-01,False,,
U00086,simplified_booking_flow,treatment,2025-04-28,True,2025-05-27,29.0
U00087,simplified_booking_flow,treatment,2024-11-13,False,,
U00088,simplified_booking_flow,control,2024-05-23,False,,
U00089,simplified_booking_flow,control,2024-08-14,False,,
U00090,simplified_booking_flow,treatment,2024-04-22,False,,
U00091,simplified_booking_flow,control,2024-12-10,False,,
U00092,simplified_booking_flow,control,2024-01-26,True,2024-02-02,7.0
U00093,simplified_booking_flow,control,2024-03-13,True,2024-04-03,21.0
U00094,simplified_booking_flow,treatment,2024-01-22,False,,
U00095,simplified_booking_flow,treatment,2025-04-27,False,,
U00096,simplified_booking_flow,treatment,2025-04-23,False,,
U00097,simplified_booking_flow,control,2024-09-23,False,,
U00098,simplified_booking_flow,control,2024-08-14,False,,
U00099,simplified_booking_flow,treatment,2024-08-26,False,,
U00100,simplified_booking_flow,control,2024-04-13,False,,
U00101,simplified_booking_flow,treatment,2024-04-13,False,,
U00102,simplified_booking_flow,treatment,2024-07-20,False,,
U00103,simplified_booking_flow,control,2025-02-05,False,,
U00104,simplified_booking_flow,control,2024-08-19,False,,
U00105,simplified_booking_flow,treatment,2024-10-09,True,2024-10-11,2.0
U00106,simplified_booking_flow,treatment,2024-04-30,True,2024-04-30,0.0
U00107,simplified_booking_flow,control,2024-04-17,True,2024-05-28,41.0
U00108,simplified_booking_flow,treatment,2024-11-16,False,,
U00109,simplified_booking_flow,control,2025-04-16,False,,
U00110,simplified_booking_flow,control,2024-01-21,False,,
U00111,simplified_booking_flow,control,2024-07-01,False,,
U00112,simplified_booking_flow,control,2024-05-21,False,,
U00113,simplified_booking_flow,treatment,2024-02-01,True,2024-12-03,306.0
U00114,simplified_booking_flow,treatment,2024-03-04,False,,
U00115,simplified_booking_flow,control,2024-05-21,False,,
U00116,simplified_booking_flow,control,2024-04-07,False,,
U00117,simplified_booking_flow,treatment,2024-07-31,False,,
U00118,simplified_booking_flow,control,2024-09-23,False,,
U00119,simplified_booking_flow,treatment,2024-02-03,True,2024-08-19,198.0
U00120,simplified_booking_flow,control,2024-11-21,False,,
U00121,simplified_booking_flow,control,2024-07-13,False,,
U00122,simplified_booking_flow,treatment,2024-12-31,False,,
U00123,simplified_booking_flow,control,2024-06-03,False,,
U00124,simplified_booking_flow,treatment,2024-04-30,False,,
U00125,simplified_booking_flow,treatment,2024-11-09,False,,
U00126,simplified_booking_flow,control,2024-09-05,False,,
U00127,simplified_booking_flow,control,2024-04-18,False,,
U00128,simplified_booking_flow,treatment,2025-01-21,False,,
U00129,simplified_booking_flow,control,2024-08-03,False,,
U00130,simplified_booking_flow,treatment,2024-03-19,True,2024-06-13,86.0
U00131,simplified_booking_flow,treatment,2024-02-05,False,,
U00132,simplified_booking_flow,control,2024-08-20,False,,
U00133,simplified_booking_flow,treatment,2024-04-22,False,,
U00134,simplified_booking_flow,treatment,2024-01-26,False,,
U00135,simplified_booking_flow,treatment,2025-01-08,True,2025-05-17,129.0
U00136,simplified_booking_flow,treatment,2024-05-03,False,,
U00137,simplified_booking_flow,treatment,2024-08-25,True,2024-09-19,25.0
U00138,simplified_booking_flow,treatment,2024-06-09,False,,
U00139,simplified_booking_flow,treatment,2024-04-22,False,,
U00140,simplified_booking_flow,control,2025-04-26,False,,
U00141,simplified_booking_flow,control,2025-02-19,False,,
U00142,simplified_booking_flow,treatment,2024-03-07,False,,
