user_id,signup_date,country,city,platform,acquisition_channel,age_group,experiment_group,first_device_type
U00001,2025-01-04,Netherlands,Amsterdam,iOS,Partnership,35-44,treatment,iOS
U00002,2025-03-06,Netherlands,Amsterdam,Android,Paid Search,25-34,control,Android
U00003,2025-04-08,Netherlands,Amsterdam,iOS,Paid Search,18-24,treatment,iOS
U00004,2024-08-26,Germany,Munich,iOS,Paid Social,25-34,treatment,iOS
U00005,2024-05-19,Germany,Munich,iOS,Organic,35-44,treatment,iOS
U00006,2024-10-10,Spain,Madrid,Android,Paid Social,25-34,control,Android
U00007,2025-05-15,Germany,Berlin,iOS,Paid Search,35-44,treatment,iOS
U00008,2024-09-05,Netherlands,Amsterdam,Android,Organic,25-34,treatment,Android
U00009,2025-04-27,Germany,Hamburg,Web,Referral,25-34,treatment,Web
U00010,2024-04-11,Austria,Vienna,Android,Organic,45-54,treatment,Android
U00011,2025-02-02,Germany,Hamburg,Android,Paid Search,18-24,treatment,Android
U00012,2024-08-09,France,Paris,Android,Referral,18-24,control,Android
U00013,2024-01-11,Spain,Barcelona,Android,Partnership,18-24,control,Android
U00014,2024-02-24,France,Paris,iOS,Organic,25-34,treatment,iOS
U00015,2024-05-08,France,Paris,iOS,Organic,25-34,treatment,iOS
U00016,2025-01-22,Netherlands,Amsterdam,iOS,Organic,35-44,treatment,iOS
U00017,2024-10-27,France,Paris,iOS,Paid Search,35-44,treatment,iOS
U00018,2024-02-12,Spain,Barcelona,Android,Paid Social,18-24,treatment,Android
U00019,2024-11-28,Spain,Madrid,Web,Paid Search,,treatment,Web
U00020,2025-04-13,France,Paris,Android,Referral,18-24,treatment,Android
U00021,2024-10-29,Austria,Vienna,iOS,Paid Search,35-44,control,iOS
U00022,2024-10-27,Spain,Barcelona,iOS,Partnership,25-34,treatment,iOS
U00023,2024-01-27,Germany,Munich,Android,Referral,25-34,treatment,Android
U00024,2024-02-16,Spain,Barcelona,iOS,Organic,25-34,control,iOS
U00025,2025-02-18,France,Paris,Android,Referral,35-44,control,Android
U00026,2024-03-11,Germany,Berlin,Android,Paid Search,25-34,control,Android
U00027,2024-10-04,Spain,Madrid,iOS,Paid Social,45-54,treatment,iOS
U00028,2024-09-19,France,Paris,iOS,Paid Social,18-24,control,iOS
U00029,2024-03-25,Netherlands,Amsterdam,Web,Organic,35-44,treatment,Web
U00030,2024-10-27,Spain,Barcelona,Web,Organic,18-24,treatment,Web
U00031,2024-05-15,Austria,Vienna,iOS,Organic,18-24,control,iOS
U00032,2024-08-28,Austria,Vienna,Web,Referral,55+,treatment,Web
U00033,2024-09-30,Germany,Munich,Android,Paid Search,25-34,treatment,Android
U00034,2025-03-04,Netherlands,Amsterdam,iOS,Partnership,18-24,control,iOS
U00035,2024-10-31,Germany,Munich,Android,Organic,45-54,treatment,Android
U00036,2025-02-12,Germany,Berlin,Android,Referral,35-44,control,Android
U00037,2024-11-05,Germany,Berlin,iOS,Partnership,35-44,control,iOS
U00038,2024-08-10,Germany,Hamburg,Web,Paid Search,35-44,treatment,iOS
U00039,2025-02-25,Austria,Vienna,iOS,Paid Social,35-44,control,iOS
U00040,2024-10-14,Germany,Berlin,Android,Referral,35-44,control,Android
